numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
273,Cuál de las siguientes no es una zona o área de trabajo de la unidad de urgencias,Despachos de responsables médicos y de enfermería,Área de espera de pacientes y acompañantes,Hospitalización del paciente,Área de boxes Página 67 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: C,C,Hospitalización del paciente,"273. Cuál de las siguientes no es una zona o área de trabajo de la unidad de urgencias:
A) Despachos de responsables médicos y de enfermería
B) Área de espera de pacientes y acompañantes
C) Hospitalización del paciente
D) Área de boxes
Página 67 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: C"
274,"Una persona acude al servicio de urgencias diciendo que en el exterior del centro hay una persona en el suelo que necesita ayuda urgente. En este caso el celador, señale la opción CORRECTA",Facilitará una camilla para trasladar al enfermo,Dirá a dicha persona que lo acerque para que lo vea el médico,Indicará que vaya al servicio de urgencias,"Se cerciorará de los hechos e informará de inmediato al personal sanitario, siguiendo sus instrucciones para trasladar al paciente Respuesta Correcta: D",D,"Se cerciorará de los hechos e informará de inmediato al personal sanitario, siguiendo sus instrucciones para trasladar al paciente Respuesta Correcta: D","274. Una persona acude al servicio de urgencias diciendo que en el exterior del centro hay una persona en el suelo
que necesita ayuda urgente. En este caso el celador, señale la opción CORRECTA:
A) Facilitará una camilla para trasladar al enfermo
B) Dirá a dicha persona que lo acerque para que lo vea el médico
C) Indicará que vaya al servicio de urgencias
D) Se cerciorará de los hechos e informará de inmediato al personal sanitario, siguiendo sus instrucciones para
trasladar al paciente
Respuesta Correcta: D"
275,El triaje es,Elegir,Clasificar,Colaborar,Las respuestas A y B son correctas Respuesta Correcta: D,D,Las respuestas A y B son correctas Respuesta Correcta: D,"275. El triaje es:
A) Elegir
B) Clasificar
C) Colaborar
D) Las respuestas A y B son correctas
Respuesta Correcta: D"
276,"En la puerta de urgencia de un hospital, entra un accidentado con una sospecha de fractura en el brazo, el dispositivo que se utiliza para inmovilizar lesiones, fracturas o desplazamientos de una parte del cuerpo, se llama",Tracción,Férula,Cabestrillo,Inmovilización Respuesta Correcta: B,B,Férula,"276. En la puerta de urgencia de un hospital, entra un accidentado con una sospecha de fractura en el brazo, el
dispositivo que se utiliza para inmovilizar lesiones, fracturas o desplazamientos de una parte del cuerpo, se llama:
A) Tracción
B) Férula
C) Cabestrillo
D) Inmovilización
Respuesta Correcta: B"
277,"Normalmente un celador de urgencias cuando lleva a un enfermo a una planta, señale la respuesta CORRECTA",Ayuda al celador de planta a trasladar a otro enfermo,Se queda en la habitación vigilando hasta recibir nuevas instrucciones,Ayuda a encamar al enfermo y/o vuelve a su sitio inicial de urgencias,Comunica al celador de planta la medicación que le han propuesto Página 68 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: C,A,Ayuda al celador de planta a trasladar a otro enfermo,"277. Normalmente un celador de urgencias cuando lleva a un enfermo a una planta, señale la respuesta CORRECTA:
A) Ayuda al celador de planta a trasladar a otro enfermo
B) Se queda en la habitación vigilando hasta recibir nuevas instrucciones
C) Ayuda a encamar al enfermo y/o vuelve a su sitio inicial de urgencias
D) Comunica al celador de planta la medicación que le han propuesto
Página 68 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: C"
278,Se denomina transporte aéreo a,Al transporte que se realiza desde el lugar donde se produce la necesidad de asistencia hasta el hospital o centro de atención de referencia del paciente,Al transporte del paciente desde un centro sanitario a otro para que le realicen una prueba diagnóstica o para que permanezca en ese centro,Al transporte del paciente desde un servicio a otro dentro del mismo hospital para que le realicen una prueba o le cambien de unidad,Al transporte que se realiza utilizando medios especiales de transporte como un helicóptero Respuesta Correcta: D,D,Al transporte que se realiza utilizando medios especiales de transporte como un helicóptero Respuesta Correcta: D,"278. Se denomina transporte aéreo a:
A) Al transporte que se realiza desde el lugar donde se produce la necesidad de asistencia hasta el hospital o
centro de atención de referencia del paciente
B) Al transporte del paciente desde un centro sanitario a otro para que le realicen una prueba diagnóstica o
para que permanezca en ese centro
C) Al transporte del paciente desde un servicio a otro dentro del mismo hospital para que le realicen una prueba
o le cambien de unidad
D) Al transporte que se realiza utilizando medios especiales de transporte como un helicóptero
Respuesta Correcta: D"
279,El transporte sanitario,"Es el que se realiza para el desplazamiento de personas enfermas, accidentadas o por otra razón sanitaria","Es el que se realiza en vehículos no dispuestos para el desplazamiento de personas enfermas, accidentadas o por otra razón sanitaria, siendo una prestación complementaria del Sistema Nacional de Salud","Es el que se realiza en vehículos especialmente acondicionados para el desplazamiento de personas enfermas, accidentadas o por otra razón sanitaria",Las respuestas A y C son correctas Respuesta Correcta: D,D,Las respuestas A y C son correctas Respuesta Correcta: D,"279. El transporte sanitario:
A) Es el que se realiza para el desplazamiento de personas enfermas, accidentadas o por otra razón sanitaria
B) Es el que se realiza en vehículos no dispuestos para el desplazamiento de personas enfermas,
accidentadas o por otra razón sanitaria, siendo una prestación complementaria del Sistema Nacional de
Salud
C) Es el que se realiza en vehículos especialmente acondicionados para el desplazamiento de personas
enfermas, accidentadas o por otra razón sanitaria
D) Las respuestas A y C son correctas
Respuesta Correcta: D"
280,"Las ambulancias acondicionadas para el transporte de enfermos, destinadas a proporcionar soporte vital avanzado, son",Ambulancias de clase A1,Ambulancias de clase A2,Ambulancias de clase B,Ambulancias de clase C Respuesta Correcta: D,D,Ambulancias de clase C Respuesta Correcta: D,"280. Las ambulancias acondicionadas para el transporte de enfermos, destinadas a proporcionar soporte vital
avanzado, son:
A) Ambulancias de clase A1
B) Ambulancias de clase A2
C) Ambulancias de clase B
D) Ambulancias de clase C
Respuesta Correcta: D"
281,"Dentro del equipamiento para el transporte sanitario medicalizado y de urgencias, el colchón de vacío es un material",De oxigenoterapia,Quirúrgico Página 69 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,Cardiovascular,Traumatológico Respuesta Correcta: D,D,Traumatológico Respuesta Correcta: D,"281. Dentro del equipamiento para el transporte sanitario medicalizado y de urgencias, el colchón de vacío es un
material:
A) De oxigenoterapia
B) Quirúrgico
Página 69 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
C) Cardiovascular
D) Traumatológico
Respuesta Correcta: D"
282,Los servicios de transporte sanitario podrán prestarse por,"Vehículos adecuados para el traslado individual de enfermos en camilla, dotados o no de equipamientos que permitan medidas asistenciales",Vehículos acondicionados para el transporte colectivo de enfermos no aquejados de enfermedades transmisibles,"Vehículos adecuados para el traslado individual de enfermos en camilla, dotados de equipamientos que permitan medidas asistenciales, o con vehículos acondicionados para el transporte colectivo de enfermos aquejados de enfermedades transmisibles",Las respuestas A y B son correctas Respuesta Correcta: D,D,Las respuestas A y B son correctas Respuesta Correcta: D,"282. Los servicios de transporte sanitario podrán prestarse por:
A) Vehículos adecuados para el traslado individual de enfermos en camilla, dotados o no de equipamientos que
permitan medidas asistenciales
B) Vehículos acondicionados para el transporte colectivo de enfermos no aquejados de enfermedades
transmisibles
C) Vehículos adecuados para el traslado individual de enfermos en camilla, dotados de equipamientos que
permitan medidas asistenciales, o con vehículos acondicionados para el transporte colectivo de enfermos
aquejados de enfermedades transmisibles
D) Las respuestas A y B son correctas
Respuesta Correcta: D"
283,"En relación a las exigencias que deben cumplir los vehículos de transporte sanitario, señale la respuesta CORRECTA",Deberán tener señalización luminosa y acústica de preferencia de paso inadecuada a los dispuesto en la reglamentación vigente,"Identificación exterior que permita distinguir claramente que se trata de una ambulancia, mediante la inscripción de la palabra ""Ambulancia"" detrás y delante. La inscripción delantera se realizará en sentido directo para que pueda ser leído por reflexión",Registro de desinfecciones del habitáculo y del equipamiento,Todas las respuestas anteriores son correctas Respuesta Correcta: C,A,Deberán tener señalización luminosa y acústica de preferencia de paso inadecuada a los dispuesto en la reglamentación vigente,"283. En relación a las exigencias que deben cumplir los vehículos de transporte sanitario, señale la respuesta
CORRECTA:
A) Deberán tener señalización luminosa y acústica de preferencia de paso inadecuada a los dispuesto en la
reglamentación vigente
B) Identificación exterior que permita distinguir claramente que se trata de una ambulancia, mediante la
inscripción de la palabra ""Ambulancia"" detrás y delante. La inscripción delantera se realizará en sentido
directo para que pueda ser leído por reflexión
C) Registro de desinfecciones del habitáculo y del equipamiento
D) Todas las respuestas anteriores son correctas
Respuesta Correcta: C"
284,"Entre los diferentes tipos de vehículos de transporte sanitario que existen, distinguimos",Ambulancias asistenciales,Vehículos de traslado colectivo sanitario,Vehículos con equipos especiales básicos,Las respuestas A y B son correctas Respuesta Correcta: D,D,Las respuestas A y B son correctas Respuesta Correcta: D,"284. Entre los diferentes tipos de vehículos de transporte sanitario que existen, distinguimos:
A) Ambulancias asistenciales
B) Vehículos de traslado colectivo sanitario
C) Vehículos con equipos especiales básicos
D) Las respuestas A y B son correctas
Respuesta Correcta: D"
285,"En las unidades terrestres de soporte vital avanzado, parte de su material de oxigenoterapia, serían aparatos de ventilación manual, para: Página 70 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",Adultos y niños,Adultos y recién nacidos,"Adultos, niños y recién nacidos",Adultos Respuesta Correcta: C,C,"Adultos, niños y recién nacidos","285. En las unidades terrestres de soporte vital avanzado, parte de su material de oxigenoterapia, serían aparatos de
ventilación manual, para:
Página 70 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) Adultos y niños
B) Adultos y recién nacidos
C) Adultos, niños y recién nacidos
D) Adultos
Respuesta Correcta: C"
286,"Los equipos de radio anclados en vehículos, serían de tipo",Base,Móvil,Portátil,Alámbricos Respuesta Correcta: B,B,Móvil,"286. Los equipos de radio anclados en vehículos, serían de tipo:
A) Base
B) Móvil
C) Portátil
D) Alámbricos
Respuesta Correcta: B"
287,"Cuál de las siguientes medicaciones, NO suele llevarse como tratamiento en la medicación de emergencia",Analgésicos,Antihistamínicos,Antiácidos,Vitaminas Respuesta Correcta: C,C,Antiácidos,"287. Cuál de las siguientes medicaciones, NO suele llevarse como tratamiento en la medicación de emergencia:
A) Analgésicos
B) Antihistamínicos
C) Antiácidos
D) Vitaminas
Respuesta Correcta: C"
